Name,zcmb,mu_obs,e_mu_obs,mu_model_lcdm,residual_lcdm,mu_model_USMFv2,residual_USMFv2
sn1999ac,0.01006,33.326159,0.174566,33.260791,0.06536819,32.972371,0.35378841
sn2004s,0.010291,33.372062,0.173593,33.310468,0.061593917,33.021916,0.35014546
sn1997do,0.01055,33.493014,0.17309,33.364867,0.12814658,33.076169,0.41684529
sn2002dp,0.010888,33.645204,0.169021,33.4339,0.2113035,33.145009,0.50019415
sn2006bh,0.011184,33.669922,0.166533,33.492631,0.17729181,33.203572,0.46635043
sn2005al,0.012317,34.294158,0.16145,33.704025,0.59013261,33.414324,0.87983321
sn2001ep,0.013324,33.906604,0.158624,33.87632,0.030284257,33.58605,0.32055415
sn1999dq,0.013533,33.720058,0.158393,33.910459,-0.19040061,33.620071,0.099987287
sn2002ha,0.013652,34.091038,0.157774,33.929664,0.16137415,33.639209,0.45182922
sn2001bt,0.014151,33.956815,0.157186,34.008433,-0.051617364,33.717696,0.23911915
sn1997e,0.014256,34.107223,0.1564,34.024657,0.08256573,33.733861,0.37336143
sn1992al,0.014411,34.087975,0.156643,34.048392,0.039583228,33.757509,0.33046628
sn1999dk,0.01444,33.987297,0.157099,34.052805,-0.06550715,33.761905,0.22539224
sn2005bo,0.014467,34.138903,0.154784,34.056905,0.081998109,33.76599,0.37291271
sn2001fe,0.014575,34.270406,0.155333,34.073232,0.19717476,33.782256,0.4881502
sn2006n,0.0147,34.33758,0.155008,34.091979,0.24560097,33.800933,0.5366468
sn2005kc,0.01496,34.231351,0.153548,34.130474,0.10087711,33.839282,0.39206931
sn2005el,0.015154,34.357711,0.153758,34.158769,0.19894206,33.867468,0.49024341
sn2004eo,0.015469,34.072352,0.153515,34.203957,-0.13160488,33.912478,0.15987361
sn2001en,0.015482,34.246778,0.154168,34.205802,0.040976205,33.914316,0.33246201
sn2001cn,0.015487,34.107353,0.153742,34.206511,-0.099158734,33.915023,0.19232988
sn2001bf,0.015504,34.190252,0.153374,34.208921,-0.018669306,33.917423,0.27282886
sn2001cz,0.015554,34.244148,0.153417,34.215995,0.028153475,33.924468,0.31967975
sn1999aa,0.015573,34.45074,0.153276,34.218676,0.23206347,33.92714,0.52360042
sn1994s,0.015664,34.311808,0.154751,34.231477,0.080331463,33.939889,0.37191956
sn2004ey,0.015678,34.409554,0.151905,34.233439,0.17611504,33.941843,0.467711
sn2001v,0.015791,34.104592,0.152742,34.249218,-0.14462657,33.957559,0.14703288
sn2006td,0.015999,34.554597,0.153171,34.277973,0.27662419,33.986196,0.56840046
sn1996bv,0.016966,34.25655,0.153258,34.406978,-0.15042794,34.11466,0.14189079
sn2006ax,0.017387,34.645289,0.148936,34.460888,0.18440087,34.168334,0.47695541
sn1998v,0.01745,34.396806,0.150702,34.468844,-0.072038865,34.176255,0.22055095
sn2000dk,0.017483,34.451815,0.150122,34.473001,-0.021185382,34.180392,0.27142291
sn1998ef,0.017672,34.225012,0.150611,34.496656,-0.27164448,34.203942,0.021069588
sn2007ci,0.018599,34.728819,0.149282,34.609179,0.11963968,34.315947,0.41287194
sn1992bo,0.018902,34.934901,0.149087,34.644761,0.2901398,34.35136,0.58354122
sn2002kf,0.019581,34.993089,0.147459,34.722497,0.27059213,34.428716,0.56437221
sn2006ej,0.02039,34.999875,0.147727,34.811717,0.18815833,34.517487,0.48238887
sn2005ki,0.020396,34.947831,0.145393,34.812366,0.1354656,34.518132,0.42969948
sn1992bc,0.020792,34.860895,0.14683,34.854762,0.0061333458,34.560308,0.30058744
sn2003w,0.020997,34.869301,0.145587,34.876398,-0.0070969977,34.58183,0.28747102
sn2002jy,0.021541,35.292985,0.145405,34.93282,0.36016545,34.63795,0.65503555
sn2007bc,0.021706,35.074451,0.146331,34.949656,0.1247954,34.654694,0.41975705
sn2006bq,0.021956,35.14196,0.145024,34.974926,0.16703382,34.679826,0.46213413
sn2008bf,0.022068,35.197767,0.144685,34.986155,0.21161167,34.690993,0.50677408
sn1995ak,0.022399,34.937705,0.149213,35.019017,-0.081312403,34.723672,0.21403343
sn2006et,0.022466,35.024709,0.145994,35.025611,-0.00090242468,34.730228,0.29448052
sn2006mp,0.022629,35.41183,0.145184,35.041572,0.37025782,34.746099,0.66573103
sn2006ar,0.02298,35.353004,0.145076,35.075561,0.27744328,34.779893,0.57311077
sn2006cp,0.023321,35.074581,0.144025,35.108095,-0.033514181,34.812239,0.2623419
sn2000ca,0.02336,35.249377,0.144317,35.111787,0.13759009,34.815909,0.43346774
sn2006ac,0.023471,35.263038,0.143695,35.122259,0.14077941,34.82632,0.43671842
sn2000cn,0.023552,35.232154,0.144309,35.12987,0.1022837,34.833887,0.39826747
sn2007f,0.02381,35.453902,0.144315,35.153943,0.2999589,34.857817,0.5960852
sn2007qe,0.023867,35.312976,0.14435,35.159227,0.15374879,34.86307,0.44990657
sn1993h,0.023909,35.350353,0.145547,35.163113,0.1872401,34.866932,0.48342107
sn2006sr,0.024159,35.27495,0.14338,35.186102,0.088847283,34.889784,0.38516627
sn2005bg,0.024586,35.322909,0.142334,35.224833,0.098075631,34.928279,0.39463017
sn2002he,0.024725,35.445406,0.145176,35.237299,0.20810744,34.940668,0.5047386
sn2002bf,0.024746,35.070075,0.147523,35.239176,-0.16910146,34.942533,0.12754128
sn1994m,0.024951,35.222116,0.145319,35.25742,-0.035304562,34.960664,0.26145115
sn1992ag,0.025198,35.242843,0.148276,35.279207,-0.036364009,34.982316,0.26052776
sn2007cq,0.025468,35.194232,0.143429,35.302785,-0.10855275,35.005744,0.18848766
sn2005ms,0.026567,35.627234,0.142099,35.396285,0.23094853,35.09864,0.52859308
sn1999gp,0.026677,35.602201,0.142999,35.405434,0.19676743,35.107729,0.49447237
sn2005na,0.026881,35.524407,0.141195,35.422302,0.10210432,35.124486,0.39992122
sn2007co,0.027064,35.45832,0.141685,35.437328,0.020992057,35.139411,0.31890935
sn2004gs,0.027499,35.806141,0.140928,35.472649,0.33349174,35.174493,0.63164752
sn1992p,0.027637,35.761539,0.144083,35.48374,0.27779897,35.185508,0.57603036
sn1998ab,0.027688,35.240115,0.143171,35.487825,-0.24771002,35.189565,0.050549306
sn2002de,0.027748,35.731784,0.141846,35.492621,0.2391626,35.194329,0.53745479
sn2003u,0.028561,35.591369,0.14269,35.556629,0.03473945,35.257892,0.33347653
sn2005eq,0.029086,35.858819,0.141059,35.597021,0.2617985,35.297997,0.56082246
sn2006qo,0.029526,35.686443,0.142005,35.630326,0.056116842,35.331062,0.355381
sn1990o,0.030325,35.747254,0.143169,35.68958,0.057673128,35.389881,0.35737287
sn2001ba,0.030381,35.918942,0.142175,35.693676,0.22526586,35.393946,0.5249961
sn2003ch,0.030416,35.941299,0.140939,35.696232,0.2450673,35.396483,0.54481661
sn1997dg,0.030482,36.197901,0.1417,35.701044,0.49685735,35.401259,0.7966426
sn1996c,0.030721,35.839872,0.142617,35.718384,0.1214879,35.418469,0.42140325
sn2006bt,0.031484,36.053917,0.140272,35.772871,0.28104626,35.472541,0.58137652
sn2006az,0.031485,35.938196,0.140346,35.772941,0.1652541,35.472611,0.46558491
sn2007bd,0.031638,35.835702,0.14121,35.783711,0.051990195,35.483297,0.35240413
sn1999cc,0.031764,35.884859,0.140686,35.792543,0.092316866,35.49206,0.39279923
sn2004as,0.032538,36.129874,0.14043,35.846051,0.28382364,35.545148,0.58472596
sn2004l,0.033173,35.996675,0.143111,35.889028,0.10764645,35.587782,0.4088928
sn2006s,0.033255,36.21217,0.139885,35.894519,0.31765064,35.593229,0.61894138
sn2006gr,0.033614,36.162256,0.139809,35.918405,0.24385071,35.61692,0.5453357
sn2005iq,0.034074,36.263162,0.138969,35.948649,0.31451317,35.646915,0.61624686
sn2005eu,0.034781,36.150741,0.141596,35.994363,0.15637842,35.692248,0.45849385
sn1996bl,0.034854,35.992803,0.141007,35.999031,-0.0062279557,35.696876,0.29592686
sn2003iv,0.034971,36.260244,0.140126,36.006494,0.25375087,35.704276,0.55596879
sn1992bg,0.035218,36.134253,0.14465,36.022168,0.1120855,35.719816,0.41443661
sn2002hd,0.035755,35.942565,0.142258,36.055877,-0.11331243,35.753237,0.18932798
SDSS17784,0.03652,36.331548,0.115396,36.103055,0.22849296,35.800003,0.53154493
sn2000cf,0.036934,36.375857,0.140956,36.128187,0.24767024,35.824912,0.55094466
sn2006nz,0.03695,36.320147,0.114021,36.129152,0.19099425,35.825869,0.49427726
sn2006mo,0.036969,36.387901,0.141722,36.130299,0.25760219,35.827006,0.56089541
sn2001eh,0.037075,36.277857,0.139296,36.136683,0.14117406,35.833333,0.4445242
sn2002hu,0.038086,36.296658,0.138952,36.196698,0.099959771,35.892806,0.40385214
sn1999aw,0.039083,36.509804,0.139901,36.25438,0.25542371,35.949954,0.55984967
sn2003fa,0.039219,36.406044,0.138984,36.262137,0.14390747,35.957638,0.44840612
sn2001az,0.040259,36.605765,0.142119,36.320603,0.28516122,36.01555,0.59021509
sn2005lz,0.040689,36.527676,0.139014,36.344348,0.18332749,36.039065,0.48861057
sn1992bh,0.041657,36.777361,0.141016,36.396921,0.38043989,36.091123,0.68623817
sn1992bl,0.0424,36.547697,0.142756,36.436474,0.11122324,36.130281,0.41741625
SDSS10805,0.04413,36.522649,0.11486,36.526019,-0.0033696727,36.218909,0.30374
SDSS14279,0.04428,36.542955,0.113705,36.533621,0.0093334826,36.226432,0.31652247
sn2005hc,0.04492,36.813793,0.111373,36.565781,0.24801192,36.258253,0.55553905
sn2004gu,0.046856,36.696633,0.137271,36.660423,0.036210718,36.351876,0.34475792
sn1995ac,0.048984,36.599681,0.139079,36.760172,-0.16049134,36.450508,0.14917222
sn1993ag,0.049325,36.840252,0.140167,36.775765,0.064486961,36.465923,0.37432894
sn1990af,0.049519,36.896049,0.139446,36.784589,0.11145951,36.474646,0.42140294
sn1993o,0.053126,37.097132,0.139575,36.942838,0.1542947,36.631016,0.46611664
sn1998dx,0.05386,37.0011,0.140685,36.973764,0.027335546,36.661562,0.33953796
sn1999ao,0.054931,37.291241,0.143919,37.018167,0.27307346,36.705411,0.58582998
SDSS19968,0.05499,37.155275,0.112893,37.020589,0.13468568,36.707802,0.44747269
SDSS6558,0.05634,37.255335,0.112867,37.075327,0.18000822,36.761844,0.49349178
SDSS14318,0.05654,37.11319,0.122398,37.083329,0.029861643,36.769742,0.34344822
SDSS17745,0.05874,37.467552,0.114585,37.169587,0.29796549,36.85487,0.61268238
sn2006ob,0.059289,37.302212,0.111086,37.190627,0.11158499,36.875628,0.42658311
sn2006oa,0.060959,37.39072,0.11093,37.253492,0.1372278,36.937641,0.45307937
SDSS3901,0.062818,37.378504,0.112357,37.321552,0.056952693,37.004754,0.37375068
sn2007ae,0.062961,37.387267,0.140212,37.326707,0.060560459,37.009836,0.37743109
sn1992bs,0.063345,37.666991,0.141293,37.340493,0.32649792,37.023428,0.64356352
SDSS10028,0.064229,37.448507,0.112975,37.371929,0.076578569,37.054415,0.39409238
sn2006an,0.065193,37.623736,0.139912,37.405738,0.21799733,37.087737,0.53599895
SDSS6057,0.06651,37.545335,0.112612,37.45116,0.094174522,37.132494,0.41284093
sn2006al,0.069122,37.86837,0.145157,37.538747,0.32962356,37.218767,0.64960287
sn2006on,0.069751,37.544255,0.111409,37.559364,-0.015108453,37.239069,0.30518592
sn1993b,0.070153,37.633652,0.146379,37.572447,0.061204172,37.251952,0.38169968
SDSS17240,0.07153,37.643365,0.157968,37.616725,0.026639541,37.295542,0.34782268
SDSS17880,0.07195,37.593299,0.112772,37.630068,-0.036768747,37.308675,0.28462372
sn1992ae,0.074579,37.735149,0.141947,37.711931,0.023218252,37.389232,0.34591672
sn2005ir,0.07487,37.849941,0.110074,37.720822,0.12911905,37.397979,0.45196162
SDSS19155,0.07592,38.018827,0.112389,37.75263,0.26619734,37.429268,0.58955912
sn1999bp,0.078317,37.975452,0.138307,37.823696,0.15175584,37.499154,0.47629849
SDSS17186,0.07849,38.285205,0.113854,37.828745,0.45646046,37.504117,0.7810881
sn1992bp,0.07884,37.792706,0.138584,37.838926,-0.046220312,37.514127,0.27857918
SDSS12779,0.07891,38.072741,0.117766,37.840957,0.23178376,37.516123,0.5566176
SDSS12898,0.07997,38.092961,0.112109,37.871504,0.22145675,37.546151,0.54681018
sn2005ag,0.080103,37.91689,0.136253,37.87531,0.041579529,37.549891,0.36699807
SDSS12950,0.08133,38.185733,0.111814,37.910137,0.2755964,37.584118,0.60161472
SDSS12781,0.08304,38.317541,0.115125,37.957846,0.35969516,37.630994,0.68654671
SDSS722,0.08522,38.220612,0.128423,38.017328,0.20328414,37.689419,0.53119346
SDSS3592,0.08528,38.178483,0.111932,38.018945,0.1595382,37.691006,0.48747656
SDSS21502,0.08784,38.239802,0.112907,38.086929,0.1528734,37.757755,0.48204739
SDSS1241,0.08889,38.186699,0.11251,38.114269,0.07243005,37.78459,0.40210886
SDSS19899,0.09007,38.270945,0.111899,38.14463,0.12631425,37.814386,0.456559
SDSS17258,0.0901,38.078707,0.124187,38.145397,-0.066690669,37.815138,0.26356845
SDSS774,0.09243,38.409607,0.122156,38.204236,0.20537157,37.872864,0.53674386
SDSS18241,0.09391,38.584293,0.11374,38.240883,0.34341036,37.908806,0.67548681
SDSS2102,0.09401,38.461071,0.112725,38.243339,0.21773214,37.911215,0.54985609
SDSS16185,0.09582,38.533308,0.112716,38.287375,0.24593277,37.954393,0.57891461
SDSS13038,0.10264,38.777015,0.113322,38.44651,0.33050547,38.110326,0.66668961
SDSS10434,0.10289,38.727198,0.114221,38.452151,0.27504716,38.11585,0.61134778
SDSS13135,0.10337,38.651728,0.111598,38.462946,0.18878178,38.126422,0.52530587
SDSS20064,0.10391,38.506897,0.112416,38.475034,0.031862984,38.138259,0.3686382
SDSS14816,0.10589,38.51032,0.112285,38.518853,-0.0085328637,38.18116,0.3291606
SDSS18697,0.10602,38.638175,0.111682,38.521703,0.11647167,38.18395,0.45422528
SDSS20625,0.10667,38.779541,0.112607,38.535903,0.24363784,38.197849,0.58169196
SDSS18375,0.10725,38.455458,0.111743,38.548505,-0.093047806,38.210184,0.24527408
SDSS21034,0.10751,38.794085,0.112402,38.554134,0.23995156,38.215692,0.57839337
SDSS7147,0.10924,38.800044,0.112096,38.59126,0.20878394,38.252022,0.548022
SDSS18650,0.11271,38.964234,0.112009,38.664083,0.30015057,38.323257,0.64097664
SDSS11067,0.11304,38.881139,0.112246,38.670898,0.21024046,38.329922,0.55121693
SDSS18612,0.11368,38.685221,0.111953,38.684062,0.0011588236,38.342794,0.34242666
SDSS16641,0.11389,39.043562,0.113093,38.688366,0.35519573,38.347003,0.69655908
SDSS16619,0.11402,38.712592,0.11346,38.691027,0.0215643,38.349605,0.36298676
SDSS5395,0.11635,38.978748,0.111949,38.738238,0.24050977,38.395759,0.58298874
SDSS8719,0.11651,38.922422,0.113022,38.741447,0.18097526,38.398896,0.52352658
SDSS2561,0.11741,38.950183,0.112518,38.759422,0.19076181,38.416464,0.53371963
SDSS19953,0.11767,38.990858,0.111671,38.76459,0.22626795,38.421515,0.56934306
SDSS16259,0.11771,38.891708,0.113079,38.765384,0.12632329,38.422291,0.46941644
SDSS1371,0.11771,38.777081,0.11196,38.765384,0.011696226,38.422291,0.35478938
SDSS14871,0.11845,39.061558,0.111824,38.780031,0.28152633,38.436605,0.6249529
SDSS18298,0.11863,38.669532,0.127194,38.783581,-0.11404885,38.440074,0.22945873
SDSS13894,0.11966,39.209273,0.113363,38.803797,0.4054755,38.459827,0.74944608
SDSS13044,0.11967,39.087358,0.112171,38.803993,0.28336495,38.460018,0.62734003
SDSS5549,0.11967,38.967698,0.111976,38.803993,0.16370553,38.460018,0.50768061
SDSS12860,0.12044,39.030567,0.113463,38.818998,0.21156903,38.474677,0.55588954
SDSS19543,0.12164,39.196958,0.112462,38.842203,0.35475515,38.497346,0.69961284
SDSS18835,0.12262,38.956586,0.11183,38.860995,0.095590198,38.5157,0.44088553
SDSS16021,0.12276,38.987525,0.112478,38.863668,0.12385679,38.518311,0.46921456
SDSS21669,0.12281,38.913864,0.129766,38.864622,0.049241442,38.519242,0.39462151
SDSS2916,0.12303,38.972486,0.119632,38.868816,0.10367002,38.523337,0.44914816
SDSS6406,0.12376,38.936366,0.111795,38.882679,0.053687132,38.536876,0.39949037
SDSS20470,0.1244,39.208689,0.113068,38.89477,0.31391955,38.548682,0.66000737
06D2fb,0.125298,39.06277,0.085713,38.911637,0.1511324,38.565151,0.49761885
SDSS13005,0.12593,39.181814,0.157613,38.92344,0.25837345,38.576674,0.60513998
SDSS2992,0.12608,38.877179,0.113495,38.926233,-0.049053884,38.5794,0.29777906
SDSS744,0.12649,39.083386,0.118731,38.933852,0.14953406,38.586838,0.49654843
SDSS18855,0.12715,39.121925,0.111895,38.946068,0.17585706,38.598762,0.52316315
SDSS16069,0.12739,39.041874,0.113191,38.950495,0.091378543,38.603083,0.4387906
SDSS18809,0.12837,39.121917,0.112485,38.968493,0.15342418,38.620649,0.50126837
SDSS22075,0.12893,39.091935,0.113756,38.97872,0.11321524,38.630629,0.46130594
SDSS1032,0.12903,39.12637,0.115931,38.980541,0.14582869,38.632407,0.49396338
SDSS5751,0.12953,39.057113,0.112137,38.98963,0.067482407,38.641276,0.4158369
SDSS20084,0.12961,39.391752,0.113865,38.991082,0.40067082,38.642692,0.74906046
SDSS18415,0.12961,39.207549,0.113841,38.991082,0.21646744,38.642692,0.56485708
SDSS17280,0.13045,39.449672,0.147057,39.006269,0.44340309,38.657511,0.79216138
SDSS14108,0.13243,39.484723,0.112393,39.041707,0.44301551,38.692083,0.79264006
SDSS18602,0.13362,39.326815,0.113865,39.062768,0.26404687,38.712625,0.61419024
SDSS15508,0.13392,39.215092,0.111798,39.06805,0.14704166,38.717776,0.49731561
SDSS15234,0.13508,39.491549,0.113196,39.088369,0.4031802,38.737591,0.75395823
SDSS17629,0.13588,39.123799,0.113673,39.102287,0.021511915,38.751162,0.37263684
SDSS19775,0.13668,39.246318,0.113428,39.116129,0.13018887,38.764657,0.48166008
SDSS17366,0.13811,39.230733,0.112284,39.140683,0.09005001,38.788594,0.44213868
SDSS15171,0.13818,39.297665,0.11186,39.141878,0.15578618,38.78976,0.50790502
SDSS17208,0.13864,39.611275,0.119461,39.149723,0.46155184,38.797406,0.81386886
SDSS12928,0.13868,39.317355,0.116765,39.150404,0.16695112,38.798069,0.51928537
SDSS1794,0.14139,39.449513,0.113002,39.196116,0.25339684,38.842618,0.60689441
SDSS14437,0.14265,39.385841,0.112226,39.217091,0.16874987,38.863055,0.52278595
SDSS2635,0.1431,39.388173,0.112072,39.22454,0.16363223,38.870312,0.51786027
SDSS13796,0.1436,39.307355,0.111766,39.232792,0.074562951,38.878351,0.42900405
SDSS17497,0.14382,39.356151,0.111949,39.236414,0.11973736,38.881879,0.47427213
SDSS8921,0.14401,39.387021,0.114616,39.239538,0.14748303,38.884922,0.50209867
SDSS16073,0.14468,39.679811,0.112388,39.250523,0.42928794,38.895623,0.78418845
SDSS14024,0.14478,39.380007,0.114439,39.252159,0.12784765,38.897216,0.48279064
SDSS17605,0.14533,39.41477,0.119235,39.261136,0.15363433,38.905959,0.50881082
SDSS11300,0.14547,39.125438,0.113737,39.263416,-0.13797782,38.90818,0.21725804
SDSS21062,0.14564,39.731821,0.114307,39.266181,0.46564007,38.910873,0.82094803
SDSS19940,0.14582,39.261311,0.112189,39.269106,-0.007795271,38.913722,0.34758899
SDSS12930,0.14607,39.559066,0.117074,39.273163,0.28590288,38.917673,0.64139306
SDSS2308,0.148,39.554178,0.111944,39.304268,0.2499105,38.947962,0.60621641
SDSS21510,0.14839,39.404046,0.11378,39.310507,0.093538672,38.954037,0.45000899
SDSS16116,0.1486,39.644156,0.112448,39.31386,0.33029612,38.957302,0.68685492
SDSS13736,0.14901,39.511831,0.112283,39.320394,0.19143679,38.963663,0.5481682
SDSS16206,0.15065,39.371489,0.113842,39.346365,0.025124475,38.988944,0.38254475
SDSS2031,0.15186,39.453621,0.112035,39.365357,0.088264336,39.00743,0.44619125
SDSS15132,0.15295,39.624165,0.111718,39.382345,0.24182016,39.023963,0.60020231
SDSS19353,0.15322,39.521424,0.113617,39.386536,0.13488789,39.028041,0.49338263
SDSS18323,0.15363,39.69794,0.115274,39.392886,0.3050532,39.034221,0.66371879
SDSS17253,0.15463,39.621754,0.1715,39.408309,0.21344498,39.049228,0.57252661
SDSS5550,0.15473,39.583086,0.111655,39.409846,0.17323968,39.050723,0.53236286
SDSS18030,0.15506,39.762277,0.118308,39.414913,0.34736434,39.055652,0.70662458
SDSS18740,0.15575,39.392103,0.111931,39.425473,-0.033369546,39.065926,0.32617695
SDSS16165,0.15596,39.593466,0.112725,39.428678,0.1647875,39.069045,0.52442104
SDSS13354,0.15653,39.470949,0.113012,39.437358,0.033590186,39.077489,0.39345975
SDSS17171,0.15895,39.623116,0.145393,39.473886,0.14923034,39.113018,0.51009866
SDSS15425,0.15935,39.362701,0.111983,39.479874,-0.11717229,39.118841,0.2438606
SDSS17825,0.15999,39.670906,0.113136,39.489425,0.18148099,39.128129,0.54277687
SDSS3317,0.15999,39.513772,0.113095,39.489425,0.024346572,39.128129,0.38564245
SDSS2689,0.16035,39.498811,0.114045,39.494782,0.0040293263,39.133338,0.36547298
SDSS5103,0.1605,39.577501,0.113217,39.497011,0.080489941,39.135506,0.44199513
SDSS13411,0.1618,39.817103,0.120879,39.516246,0.30085657,39.154208,0.66289422
SDSS20430,0.16284,39.809749,0.114429,39.531531,0.27821811,39.169068,0.64068061
SDSS19174,0.16357,39.537404,0.114386,39.542205,-0.0048018352,39.179445,0.35795829
SDSS20764,0.16387,39.705099,0.113522,39.546579,0.15851991,39.183697,0.5214022
SDSS3087,0.1644,39.614567,0.11306,39.554289,0.060278805,39.191191,0.42337673
SDSS19616,0.16455,39.637488,0.113442,39.556466,0.081021986,39.193307,0.44418089
SDSS12843,0.16565,39.453303,0.118455,39.57238,-0.11907629,39.208774,0.24452919
SDSS12853,0.16817,39.584249,0.116716,39.608468,-0.024219217,39.243844,0.34040521
SDSS15897,0.16869,39.796918,0.116161,39.615853,0.18106538,39.251019,0.54589935
05D3ne,0.169455,39.832052,0.088415,39.626678,0.20537445,39.261536,0.57051624
SDSS12856,0.17028,39.833327,0.112043,39.638301,0.19502641,39.272828,0.56049958
SDSS12855,0.17063,39.687683,0.114853,39.643216,0.044466789,39.277603,0.41008036
SDSS17220,0.17066,39.646053,0.115012,39.643637,0.0024160738,39.278012,0.36804167
SDSS17389,0.1707,40.057622,0.115438,39.644198,0.41342363,39.278557,0.77906527
SDSS15453,0.17373,40.085507,0.114314,39.686348,0.39915907,39.319495,0.76601138
SDSS3080,0.17374,39.713598,0.112831,39.686486,0.027112478,39.319629,0.39396877
SDSS15648,0.17383,39.776759,0.122163,39.687727,0.089032493,39.320835,0.45592462
